"Entity Name","Alternative Form of Name","Project ID","LOD ID","Entity Location","Entity Location - Object ID",Entity_Acronym,"[Related Entity] Sub-Object ID","[Related Entity] Sub Entity","[Related Entity] Sub Entity - Object ID","[Related Entity] Main Entity","[Related Entity] Main Entity - Object ID","[Related Entity] Affiliated Entity","[Related Entity] Affiliated Entity - Object ID","[Located] Sub-Object ID","[Located] Location Reference","[Located] Location Reference - Object ID","[Located] Geometry","[Located] Located"
"[Josef Plotzer] [samizdat]",,00048,,,,,16407143,,,,,,,16405563,,,,Hodonín
"[Karel Lešanovský] [samizdat]",,00049,,,,,16407144,,,,,,,16405564,,,,Děčín
"[Krameriova expedice] [samizdat]",,00050,,,,,16407145,,,,,,,16405565,,,,Praha
"[Michal Holeček] [samizdat]",,00051,,,,,16407146,,,,,,,16405566,,,,Praha
"[Milan Jelínek] [samizdat]",,00052,,,,,16407147,,,,,,,16405567,,,,Brno
"[Miroslav Svoboda] [samizdat]",,00053,,,,,16407148,,,,,,,16405568,,,,Plzeň
"[MKZ ZŁ NSZZ ""Solidarność",,00054,,,,,16407149,,,,,,,16405569,,,,Łódź
"[nakladatel není známý] [samizdat]",,00055,,,,,16407150,,,,,,,16405570,,,,"Místo vydání není známé"
"[nakladatel není známý] [samizdat]",,00056,,,,,16407151,,,,,,,16405571,,,,"místo vydání není známé"
"[nakladatel není známý] [samizdat]",,00057,,,,,16407152,,,,,,,16405572,,,,"Český Těšín"
"[nakladatel není známý] [samizdat]",,00058,,,,,16407153,,,,,,,16405573,,,,Olomouc
"[nakladatel není známý] [samizdat]",,00059,,,,,16407154,,,,,,,16405574,,,,Praha
"[nakladatel není známý] [samizdat]",,00060,,,,,16407155,,,,,,,16405575,,,,Brno
"[Nakladatel není známý] [samizdat]",,00061,,,,,16407156,,,,,,,16405576,,,,Olomouc
"[nakladtael není známý] [samizdat]",,00062,,,,,16407157,,,,,,,16405577,,,,"Místo vydání není známé"
"[Niezależna Oficyna Wydawnicza] ""Nowa"" 2|[Niezależna Oficyna Wydawnicza]""Nowa"" 2",,00063,,,,,16407158,,,,,,,16405578,,,,Warszawa
"[Niezależny Samorządny Związek Zawodowy Rolników Indywidualnych ""Solidarność",,00064,,,,,16407159,,,,,,,16405579,,,,Warszawa
"[NSZZ - Niezależny Samorządny Związek Zawodowy] ""Solidarność"" [Ziemi Łódzkiej]",,00065,,,,,16407160,,,,,,,16405580,,,,Łódź
"[Oficyna ""W",,00066,,,,,16407161,,,,,,,16405581,,,,Kraków
"[Petr Mikeš] [samizdat]",,00067,,,,,16407162,,,,,,,16405582,,,,Olomouc
"[Regionalna Komisja Wykonawcza Niezależnego Samorządnego Związku Zawodowego ""Solidarność",,00068,,,,,16407163,,,,,,,16405583,,,,Wrocław
"[RKW NSZZ - Regionalna Komisja Wykonawcza Niezależnego Samorządnego Związku Zawodowego ""Solidarność",,00069,,,,,16407164,,,,,,,16405584,,,,Wrocław
"[RKW NSZZ ""Solidarność",,00070,,,,,16407165,,,,,,,16405585,,,,Wrocław
"[Rostislav Valušek] [samizdat]",,00071,,,,,16407166,,,,,,,16405586,,,,Olomouc
"[Václav Soukup] [samizdat]",,00072,,,,,16407167,,,,,,,16405587,,,,Praha
"[Viktor Sekyt] [samizdat]",,00073,,,,,16407168,,,,,,,16405588,,,,Praha
"[Vít Pelikán] [samizdat]",,00074,,,,,16407169,,,,,,,16405589,,,,Olomouc
"[Wolne Pismo ""Most",,00075,,,,,16407170,,,,,,,16405590,,,,Warszawa
"[Wydaw. ""123",,00076,,,,,16407171,,,,,,,16405591,,,,Kraków
"[Wydaw. ""6 Sierpnia",,00077,,,,,16407172,,,,,,,16405592,,,,Kraków
"[Wydaw.] ""13""",,00078,,,,,16407173,,,,,,,16405593,,,,Wrocław
"[Wydaw.] ""R""",,00079,,,,,16407174,,,,,,,16405594,,,,Kraków
"[Wydaw.] )*)*)*",,00080,,,,,16407175,,,,,,,16405595,,,,Warszawa
"[Wydaw.] ***",,00081,,,,,16407176,,,,,,,16405596,,,,Warszawa
"[Wydaw.])*)*)* na zlec. Zespołu do Spraw Kultury NSZZ [Niezależnego Samorządnego Związku Zawodowego] ""Solidarność""",,00082,,,,,16407177,,,,,,,16405597,,,,Warszawa
"[Zarząd Regionalny Ziemi Łódzkiej NSZZ - Niezależnego Samorządnego Związku Zawodowego ""Solidarność|[ZR NSZZ - Zarząd Regionalny Niezależnego Samorządnego Związku Zawodowego] ""Solidarność"" [Ziemi Łódzkiej]",,00083,,,,,16407178,,,,,,,16405598,,,,Łódź
A-S,,00084,,,,,16407179,,,,,,,16405599,,,,Poznań
"A appela [i. e. A cappella]",,00085,,,,,16407180,,,,,,,16405600,,,,Gdańsk
"Ab Sid Disto Vidis",,00086,,,,,16407181,,,,,,,16405601,,,,Kraków
ABC,,00087,,,,,16407182,,,,,,,16405602,,,,Warszawa
ABC,,00088,,,,,16407183,,,,,,,16405603,,,,Kraków
ACK,,00089,,,,,16407184,,,,,,,16405604,,,,Lublin
Acta,,00090,,,,,16407185,,,,,,,16405605,,,,Warszawa
"Ad Maiorem Dei Gloriam",,00091,,,,,16407186,,,,,,,16405606,,,,Warszawa
"Adsum|""Adsum"" ON [Oświata Niezależna]",,00092,,,,,16407187,,,,,,,16405607,,,,Warszawa
"Ag[encja] Inf[ormacyjna] ""Solidarności Walczącej""|Ag[encja] Inf[ormacyjna] SW [""Solidarności Walczącej""|Ag[encja] Inf[ormacyjna] SW [Solidarności Walczącej",,00093,,,,,16407188,,,,,,,16405608,,,,Wrocław
"Ag[encja] Inf[ormacyjna] SW [""Solidarności Walczącej']",,00094,,,,,16407189,,,,,,,16405609,,,,Lublin
"Ag[encja] Inf[ormacyjna] SW [Solidarności Walczącej]",,00095,,,,,16407190,,,,,,,16405610,,,,"s. l."
"Ag[encja] Inf[ormacyjna] SW [Solidarności Walczącej]",,00096,,,,,16407191,,,,,,,16405611,,,,"S. l."
"Agencja Fotograficzna. Oddział Poznań ""Solidarność Walcząca""",,00097,,,,,16407192,,,,,,,16405612,,,,Poznań
"Agencja Informacyjna ""S""",,00098,,,,,16407193,,,,,,,16405613,,,,Warszawa
"Agencja Informacyjna ""Solidarności Walczącej""",,00099,,,,,16407194,,,,,,,16405614,,,,Poznań
"Agencja Informacyjna ""Solidarności Walczącej""|Agencja Informacyjna Solidarności Walczącej|Agencja Informacyjna SW [Solidarności Walczącej]|Agencja Solidarności Walczącej",,00100,,,,,16407195,,,,,,,16405615,,,,Wrocław|Wroc.
"Agencja Informacyjna Solidarności Walczącej",,00101,,,,,16407196,,,,,,,16405616,,,,Lublin
"Agencja Informacyjna Solidarności Walczącej",,00102,,,,,16407197,,,,,,,16405617,,,,"S. l."
"Agencja Ludowa ""Wieści""",,00103,,,,,16407198,,,,,,,16405618,,,,Warszawa
"Agencja Solidarności Rolników",,00104,,,,,16407199,,,,,,,16405619,,,,Rzeszów
"Agencja Wydawnicza ""Solidarności Walczącej""|Agencja Wydawnicza Solidarności Walczącej",,00105,,,,,16407200,,,,,,,16405620,,,,Wrocław
"Agencja Wydawnicza Solidarności Walczącej",,00106,,,,,16407201,,,,,,,16405621,,,,Trójmiasto
"Agencja Wydawnicza Solidarności Walczącej",,00107,,,,,16407202,,,,,,,16405622,,,,"S. l."
AGH,,00108,,,,,16407203,,,,,,,16405623,,,,Krak.
AISW,,00109,,,,,16407204,,,,,,,16405624,,,,Wroc.
"Akademia Przydrożna",,00110,,,,,16407205,,,,,,,16405625,,,,Piołunówka
"Akademia Sztuk Wszelakich|Akademya Sztuk Wszelakich",,00111,,,,,16407206,,,,,,,16405626,,,,Wrocław
"Akademicka Agencja Wydawnicza",,00112,,,,,16407207,,,,,,,16405627,,,,Szczecin
"Akademicka Agencja Wydawnicza Niezależna Oficyna Wydawnicza ""Nowa""",,00113,,,,,16407208,,,,,,,16405628,,,,Szczecin
"Akademicka Agencja Wydawnicza przy współpr. z Niezależną Oficyną Wydawniczą",,00114,,,,,16407209,,,,,,,16405629,,,,Szczecin
Akcent,,00115,,,,,16407210,,,,,,,16405630,,,,Elbląg
"Akces|""Akces"" Wydaw. Społeczne KOS",,00116,,,,,16407211,,,,,,,16405631,,,,Warsz.|Warszawa
"AKL [Archikonfraternia Literacka]",,00117,,,,,16407212,,,,,,,16405632,,,,Warszawa
"Aku-Aku (hudební skupina)",,00118,,,,,16407213,,,,,,,,,,,
Alfa,,00119,,,,,16407214,,,,,,,16405633,,,,Kraków
Alternativ,,00120,,,,,16407215,,,,,,,16405634,,,,Gdańsk
Alternatywa,,00121,,,,,16407216,,,,,,,16405635,,,,"S. l."
Alternatywy,,00122,,,,,16407217,,,,,,,16405636,,,,Warszawa
Alternatywy,,00123,,,,,16407218,,,,,,,16405637,,,,Kraków
Amnestia,,00124,,,,,16407219,,,,,,,16405638,,,,Warszawa
"Amnesty International",,00125,,,,,16407220,,,,,,,,,,,
"Aneks Warszawa Krąg",,00126,,,,,16407221,,,,,,,16405639,,,,Londyn
"Aneks Warszawa Wolne Pismo Most",,00127,,,,,16407222,,,,,,,16405640,,,,Londyn
Anty-MON,,00128,,,,,16407223,,,,,,,16405641,,,,Gdań.
Antyk,,00129,,,,,16407224,,,,,,,16405642,,,,Warszawa
Antyk,,00130,,,,,16407225,,,,,,,16405643,,,,Kęty
"Antyk|""Antyk"" nakł. [Piotra] Surażyńskiego|""Antyk"" nakł. autora|""Antyk"" nakł. P[iotra] Surażyńskiego|""Antyk"" nakł. Piotra Surażyńskiego",,00131,,,,,16407226,,,,,,,16405644,,,,"Lublin [etc.]|Lublin"
AntyMON,,00132,,,,,16407227,,,,,,,16405645,,,,Gdańsk
Apel,,00133,,,,,16407228,,,,,,,16405646,,,,"S. l.|S.l."
"Archikonfraternia Literacka",,00134,,,,,16407229,,,,,,,16405647,,,,Warszawa
Archiwum,,00135,,,,,16407230,,,,,,,16405648,,,,Warszawa
Arka,,00136,,,,,16407231,,,,,,,16405649,,,,Warszawa
Arka,,00137,,,,,16407232,,,,,,,16405650,,,,Kraków
Arka,,00138,,,,,16407233,,,,,,,16405651,,,,Łódź
"ARO NZS P. Wr. [Akademicki Ruch Oporu Niezależnego Zrzeszenia Studentów Politechniki Wrocławskiej]",,00139,,,,,16407234,,,,,,,16405652,,,,Wrocław
"ARS [Akademicki Ruch Samoobrony]|ARS Akademicki Ruch Samoobrony|ASR [i. e. ARS - Akademicki Ruch Samoobrony]",,00140,,,,,16407235,,,,,,,16405653,,,,Kraków
"art EMISJA",,00141,,,,,16407236,,,,,,,16405654,,,,Warszawa
Aspekt,,00142,,,,,16407237,,,,,,,16405655,,,,Wroc.|Wrocław
Aspekt,,00143,,,,,16407238,,,,,,,16405656,,,,Wrocław
"Aspekt Kret",,00144,,,,,16407239,,,,,,,16405657,,,,Wrocław
Aut'82,,00145,,,,,16407240,,,,,,,16405658,,,,Lublin
Aut'82|AUT'82,,00146,,,,,16407241,,,,,,,16405659,,,,Lublin
Avia,,00147,,,,,16407242,,,,,,,16405660,,,,Warszawa
Aviva,,00148,,,,,16407243,,,,,,,16405661,,,,"S. l."
"AW - Akademicka Agencja Wydawnicza",,00149,,,,,16407244,,,,,,,16405662,,,,Szczecin
Awers,,00150,,,,,16407245,,,,,,,16405663,,,,Warszawa
Awers,,00151,,,,,16407246,,,,,,,16405664,,,,Poznań
Azyl,,00152,,,,,16407247,,,,,,,16405665,,,,Warszawa
b.w.,,00153,,,,,16407248,,,,,,,16405666,,,,"Poznań [właśc. Karków]"
Baszta,,00154,,,,,16407249,,,,,,,16405667,,,,Wrocław
Baza,,00155,,,,,16407250,,,,,,,16405668,,,,Warszawa
BBS,,00156,,,,,16407251,,,,,,,16405669,,,,Warszawa
Bellona,,00157,,,,,16407252,,,,,,,16405670,,,,"S. l."
"Bez cenzury|Bez Cenzury",,00158,,,,,16407253,,,,,,,16405671,,,,Warszawa
"Bez Cięć",,00159,,,,,16407254,,,,,,,16405672,,,,Kraków
"Bez Debitu",,00160,,,,,16407255,,,,,,,16405673,,,,Warszawa|W[arszawa]
BH,,00161,,,,,16407256,,,,,,,16405674,,,,Warszawa
"BH [Biblioteka Historyczna] BL [Biblioteka Literacka]|BHiL|Biblioteka Historyczna i Literacka",,00162,,,,,16407257,,,,,,,16405675,,,,Warszawa
"BH|Biblioteka Historyczna",,00163,,,,,16407258,,,,,,,16405676,,,,Kraków
BI-PS|BIPS,,00164,,,,,16407259,,,,,,,16405677,,,,Gdańsk
"Białostocka Oficyna Wydawnicza",,00165,,,,,16407260,,,,,,,16405678,,,,Białystok
"Biblioteca Ecce",,00166,,,,,16407261,,,,,,,16405679,,,,Katowice
"Biblioteczka ""Grypsu""",,00167,,,,,16407262,,,,,,,16405680,,,,Gdańsk
"Biblioteczka Młodego NZS-iaka",,00168,,,,,16407263,,,,,,,16405681,,,,"S. l."
"Biblioteczka Non-Violence",,00169,,,,,16407264,,,,,,,16405682,,,,Wrocław
"Biblioteka ""Biuletynu Elbląskiego""",,00170,,,,,16407265,,,,,,,16405683,,,,Elbląg
"Biblioteka ""Miesięcznika Małopolskiego""",,00171,,,,,16407266,,,,,,,16405684,,,,Kraków
"Biblioteka ""Polityki Polskiej""",,00172,,,,,16407267,,,,,,,16405685,,,,Gdańsk
"Biblioteka ""Przeglądu Gdańskiego""",,00173,,,,,16407268,,,,,,,16405686,,,,Gdańsk
"Biblioteka ""Wolnego Głosu Ursusa""",,00174,,,,,16407269,,,,,,,16405687,,,,Warszawa
"Biblioteka ""Wolnej Myśli""",,00175,,,,,16407270,,,,,,,16405688,,,,Kraków
"Biblioteka a Capelli",,00176,,,,,16407271,,,,,,,16405689,,,,"S. l."
"Biblioteka Historyczna i Literacka",,00177,,,,,16407272,,,,,,,16405690,,,,Kraków
"Biblioteka Informatora Regionu Środkowo-Wschodniego NSZZ ""Solidarność""",,00178,,,,,16407273,,,,,,,16405691,,,,Lublin
