REV,group_id,Entity_Name,Entity Acronym,Alternative_form_of_name,alt_name_vol_2,Related_Entity_Sub_Entity,Related_Entity_Main_Entity,Located_Location,Grouped,entity_as_author,simple_name_loc
Y,21,Agencja Ludowa Wieści,,"Agencja Ludowa ""Wieści""",,,,Warszawa,bn_books-210-%c-66643,,agencjaludowawieści|warszawa
Y,22,Agencja Solidarności Rolników,,Agencja Solidarności Rolników,,,,Rzeszów,bn_books-210-%c-78755,,agencjasolidarnościrolników|rzeszów
Y,23,Agencja Solidarności Walczącej,,Agencja Solidarności Walczącej,,,2003,Wrocław,bn_books-210-%c-50764|bn_books-210-%c-94027|bn_books-210-%c-94039,,agencjasolidarnościwalczącej|wrocław
Y,24,Agencja Wydawnicza Solidarności Walczącej,,Agencja Wydawnicza Solidarności Walczącej,,,2003,S. l.,bn_books-210-%c-96551,,agencjawydawniczasolidarnościwalczącej|sl
Y,24,Agencja Wydawnicza Solidarności Walczącej,,Agencja Wydawnicza Solidarności Walczącej,,,2003,Trójmiasto,bn_books-210-%c-88114,,agencjawydawniczasolidarnościwalczącej|trójmiasto
Y,24,Agencja Wydawnicza Solidarności Walczącej,,"Agencja Wydawnicza ""Solidarności Walczącej""|Agencja Wydawnicza Solidarności Walczącej",,,2003,Wrocław,bn_books-210-%c-18586|bn_books-210-%c-19127|bn_books-210-%c-26168|bn_books-210-%c-30413|bn_books-210-%c-50841|bn_books-210-%c-88597|bn_books-210-%c-18806|bn_books-210-%c-43335|bn_books-210-%c-44373|bn_books-210-%c-50072|bn_books-210-%c-50876|bn_books-210-%c-50909|bn_books-210-%c-63753|bn_books-210-%c-63962|bn_books-210-%c-83339|bn_books-210-%c-85501|bn_books-210-%c-86379|bn_books-210-%c-88126|bn_books-210-%c-88549|bn_books-210-%c-88571|bn_books-210-%c-92514|bn_books-210-%c-96563|bn_books-210-%c-98849|bn_books-210-%c-106794|bn_books-210-%c-107084|bn_books-210-%c-110762,,agencjawydawniczasolidarnościwalczącej|wrocław
Y,27,Akademia Górniczo-Hutnicza,AGH,AGH,,,,Kraków,bn_books-210-%g-66574,,agh|krak
Y,29,Akademia Przydrożna,,Akademia Przydrożna,,,,Piołunówka,bn_books-210-%c-89683,,akademiaprzydrożna|piołunówka
Y,30,Akademia Sztuk Wszelakich,,Akademia Sztuk Wszelakich,,,,Wrocław,bn_books-210-%c-26637|bn_books-210-%c-71147,,akademiasztukwszelakich|wrocław
Y,30,Akademia Sztuk Wszelakich,,Akademya Sztuk Wszelakich,,,,Wrocław,bn_books-210-%c-8070|bn_books-210-%c-55731|bn_books-210-%c-99589,,akademyasztukwszelakich|wrocław
Y,33,Akcent,,"""Akcent""",,,,Elbląg,bn_books-210-%c-94886,,akcent|elbląg
Y,34,Akces,,"""Akces""",,,,Warszawa,bn_books-210-%g-17731|bn_books-210-%g-94362,,akces|warsz
Y,34,Akces,,"""Akces""",,,,Warszawa,bn_books-210-%c-367|bn_books-210-%c-28060|bn_books-210-%c-51486,,akces|warszawa
Y,37,Aku-Aku,,Aku-Aku (hudební skupina),,,,,cz_articles-610-$$a-2394039,,akuakuhudebnískupina
