Wikidata_ID,name_en,name_pl
https://www.wikidata.org/wiki/Q7886765,union organizer,działacz związkowy
https://www.wikidata.org/wiki/Q723682,dean,dziekan
https://www.wikidata.org/wiki/Q1930187,journalist,dziennikarz
https://www.wikidata.org/wiki/Q1350189,egyptologist,egiptolog
https://www.wikidata.org/wiki/Q1227195,economist,ekonomista
https://www.wikidata.org/wiki/Q165029,electrician,elektryk
https://www.wikidata.org/wiki/Q3055126,entomologist,entomolog
https://www.wikidata.org/wiki/Q11774202,essayist,eseista
https://www.wikidata.org/wiki/Q860918,Esperantist,esperantysta
https://www.wikidata.org/wiki/Q12347522,ethnographer,etnograf
https://www.wikidata.org/wiki/Q1086863,columnist,felietonista
https://www.wikidata.org/wiki/Q1414443,filmmaker,filmowiec
https://www.wikidata.org/wiki/Q1235146,documentary filmmaker,filmowiec dokumentalista
https://www.wikidata.org/wiki/Q13418253,philologist,filolog
https://www.wikidata.org/wiki/Q2468727,classical scholar,filolog klasyczny
https://www.wikidata.org/wiki/Q4964182,philosopher,filozof
https://www.wikidata.org/wiki/Q169470,physicist,fizyk
https://www.wikidata.org/wiki/Q16742096,nuclear physicist,fizyk jądrowy
https://www.wikidata.org/wiki/Q33231,photographer,fotograf
https://www.wikidata.org/wiki/Q957729,photojournalist,fotoreporter
https://www.wikidata.org/wiki/Q384593,police officer,funkcjonariusz policji
https://www.wikidata.org/wiki/Q212238,civil servant,funkcjonariusz publiczny
https://www.wikidata.org/wiki/Q5121444,intelligence officer,funkcjonariusz wywiadu
https://www.wikidata.org/wiki/Q3126128,geneticist,genetyk
https://www.wikidata.org/wiki/Q294126,land surveyor,geodeta
https://www.wikidata.org/wiki/Q901402,geographer,geograf
https://www.wikidata.org/wiki/Q520549,geologist,geolog
https://www.wikidata.org/wiki/Q16947320,geopolitician,geopolityk
https://www.wikidata.org/wiki/Q2599593,German scholar,germanista
https://www.wikidata.org/wiki/Q2640827,gynaecologist,ginekolog
https://www.wikidata.org/wiki/Q855091,guitarist,gitarzysta
https://www.wikidata.org/wiki/Q627325,graphic designer,grafik
https://www.wikidata.org/wiki/Q92904236,Polish scout,harcerz
https://www.wikidata.org/wiki/Q516463,heraldist,heraldyk
https://www.wikidata.org/wiki/Q1066186,study of history,historia
https://www.wikidata.org/wiki/Q201788,historian,historyk
https://www.wikidata.org/wiki/Q20971250,film historian,historyk filmu
https://www.wikidata.org/wiki/Q24265174,philosophy historian,historyk filozofii
https://www.wikidata.org/wiki/Q13570226,literary historian,historyk literatury
https://www.wikidata.org/wiki/Q2135538,legal historian,historyk prawa
https://www.wikidata.org/wiki/Q1792450,art historian,historyk sztuki
https://www.wikidata.org/wiki/Q1493121,military historian,historyk wojskowości
https://www.wikidata.org/wiki/Q17489339,historian of the modern age,historyk współczesności
https://www.wikidata.org/wiki/Q12406482,humorist,humorysta
https://www.wikidata.org/wiki/Q644687,illustrator,ilustrator
https://www.wikidata.org/wiki/Q82594,computer scientist,informatyk
https://www.wikidata.org/wiki/Q81096,engineer,inżynier
https://www.wikidata.org/wiki/Q14467526,linguist,językoznawca
https://www.wikidata.org/wiki/Q42603,priest,kapłan
https://www.wikidata.org/wiki/Q3264451,cardiologist,kardiolog
https://www.wikidata.org/wiki/Q1734662,cartographer,kartograf
https://www.wikidata.org/wiki/Q3658608,caricaturist,karykaturzysta
https://www.wikidata.org/wiki/Q432386,preacher,kaznodzieja
https://www.wikidata.org/wiki/Q22343478,collagist,kolażysta
https://www.wikidata.org/wiki/Q3243461,collector,kolekcjoner
https://www.wikidata.org/wiki/Q1642960,pundit,komentator
https://www.wikidata.org/wiki/Q11499163,political pundit,komentator polityczny
