group_id,Entity_Name,Entity Acronym,Alternative_form_of_name,Related_Entity_Sub_Entity,Related_Entity_Main_Entity,Located_Location,Grouped,entity_as_author,simple_name_loc
58,Arka,,,,,Łódź,bn_books-210-%c-15008|bn_books-210-%c-29644|bn_books-210-%c-36417|bn_books-210-%c-78040|bn_books-210-%c-73322|bn_books-210-%c-26111|bn_books-210-%c-96306|bn_books-210-%c-25322|bn_books-210-%c-52493|bn_books-210-%c-36705|bn_books-210-%c-26564|bn_books-210-%c-26270|bn_books-210-%c-73311|bn_books-210-%c-29655|bn_books-210-%c-72347|bn_books-210-%c-53726|bn_books-210-%c-17602|bn_books-210-%c-96189|bn_books-210-%c-65153|bn_books-210-%c-75212|bn_books-210-%c-91182,,łódź|arka
59,Akademicki Ruch Oporu NZS,ARO NZS,ARO NZS P. Wr.,,2001,Wrocław,bn_books-210-%c-2216,,wrocław|aronzspwrakademickiruchoporuniezależnegozrzeszeniastudentówpolitechnikiwrocławskiej
60,Akademicki Ruch Samoobrony,ARS,ASR i. e. ARS - Akademicki Ruch Samoobrony|ARS|ARS Akademicki Ruch Samoobrony,,,Kraków,bn_books-210-%c-52142|bn_books-210-%c-52164|bn_books-210-%c-52151,,kraków|arsakademickiruchsamoobrony|asriearsakademickiruchsamoobrony
61,art EMISJA,,,,,Warszawa,bn_books-210-%c-9828,,artemisja|warszawa
62,Aspekt,,,,,Wrocław,bn_books-210-%c-2660|bn_books-210-%c-47225|bn_books-210-%c-10868|pbl_books-nan-publishing_house-1395501|bn_books-210-%c-72305|bn_books-210-%c-21224|bn_books-210-%c-33553|bn_books-210-%c-23444|bn_books-210-%c-25467|pbl_books-nan-publishing_house-1396241|bn_books-210-%c-42804|bn_books-210-%c-23459|bn_books-210-%c-91698|bn_books-210-%c-85790|bn_books-210-%c-94931|bn_books-210-%c-67996|bn_books-210-%c-75233|bn_books-210-%c-27676|bn_books-210-%c-49977|bn_books-210-%c-87133|bn_books-210-%c-23429|bn_books-210-%c-8816|bn_books-210-%c-33344|bn_books-210-%c-44531|bn_books-210-%c-20575|bn_books-210-%c-68088|bn_books-210-%c-95924|bn_books-210-%c-50780|bn_books-210-%c-67748|bn_books-210-%c-8017|bn_books-210-%c-96864|bn_books-210-%c-104884|bn_books-210-%c-12921|bn_books-210-%g-12921|bn_books-210-%c-100493|bn_books-210-%c-48337|bn_books-210-%c-23414|bn_books-210-%c-69761|bn_books-210-%c-92009|bn_books-210-%c-92847|bn_books-210-%c-29485|bn_books-210-%c-20037|bn_books-210-%c-106707,,wrocław|wroc|aspekt
65,A-S,,,,,Poznań,bn_books-210-%c-3226,,as|poznań
66,Atu,,,,,S. l.,bn_books-210-%c-6641,,sl|atu
67,Aut'82,,Aut'82|AUT'82,1760,,Lublin,bn_books-210-%c-28198|bn_books-210-%c-2779|bn_books-210-%c-37419|bn_books-210-%c-4390,,lublin|aut82
68,Avia,,,,,Warszawa,bn_books-210-%c-34364|bn_books-210-%c-19584|bn_books-210-%c-11395|bn_books-210-%c-80990|bn_books-210-%c-22587,,avia|warszawa
69,Aviva,,,,,S. l.,bn_books-210-%c-103386,,aviva|sl
70,Akademicka Agencja Wydawnicza,AW,AW - Akademicka Agencja Wydawnicza,,,Szczecin,bn_books-210-%c-47845|bn_books-210-%c-59962|bn_books-210-%c-12721|bn_books-210-%c-99494|bn_books-210-%c-70944|bn_books-210-%c-17253,,szczecin|akademickaagencjawydawnicza|awakademickaagencjawydawnicza
71,Awers,,,,,Poznań,bn_books-210-%c-17899,,awers|poznań
